2022-08-14 20:08:690 INFO  TradePage :102 - Clicking on trade Button: [[ChromeDriver: chrome on WINDOWS (e1f200e094043a289d28198e6387cdf0)] -> xpath: //a[@href='/trade']//div[@data-qa='aside__icon']//i[@data-qa='icon-wrapper__container']//*[name()='svg']]
2022-08-14 20:08:347 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 20:08:660 INFO  TradePage :102 - Clicking on trade Button: [[ChromeDriver: chrome on WINDOWS (3f94369fb64aacbfbbd761f79f350f1b)] -> xpath: //a[@href='/trade']//div[@data-qa='aside__icon']//i[@data-qa='icon-wrapper__container']//*[name()='svg']]
2022-08-14 20:08:795 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 20:08:351 INFO  TradePage :102 - Clicking on trade Button: [[ChromeDriver: chrome on WINDOWS (4f6e48e01259bc3eceffde67acac4e83)] -> xpath: //a[@href='/trade']//div[@data-qa='aside__icon']//i[@data-qa='icon-wrapper__container']//*[name()='svg']]
2022-08-14 20:08:675 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 20:08:797 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 20:08:670 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 20:08:911 INFO  HomePage :29 - Clicking on Try Free Demo : [[ChromeDriver: chrome on WINDOWS (fa83301d38f4f51f22ad5447dcfc80a3)] -> xpath: //a[@class='btn hp-submit-btn hp-demo-acc-btn']]
2022-08-14 20:08:952 INFO  HomePage :33 - Verifying the demopage text[[ChromeDriver: chrome on WINDOWS (fa83301d38f4f51f22ad5447dcfc80a3)] -> xpath: //h1[normalize-space()='Open Demo Account']]
2022-08-14 20:08:966 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 20:08:107 INFO  HomePage :29 - Clicking on Try Free Demo : [[ChromeDriver: chrome on WINDOWS (3e0ed58d9d874115ea95fc8008ebd15b)] -> xpath: //a[@class='btn hp-submit-btn hp-demo-acc-btn']]
2022-08-14 20:08:675 INFO  CreateDemoAccountPage :54 - Sending First Name : [[ChromeDriver: chrome on WINDOWS (3e0ed58d9d874115ea95fc8008ebd15b)] -> id: name]
2022-08-14 20:08:748 INFO  CreateDemoAccountPage :58 - Sending last name: [[ChromeDriver: chrome on WINDOWS (3e0ed58d9d874115ea95fc8008ebd15b)] -> id: lastName]
2022-08-14 20:08:821 INFO  CreateDemoAccountPage :64 - Sending email address : [[ChromeDriver: chrome on WINDOWS (3e0ed58d9d874115ea95fc8008ebd15b)] -> id: email]
2022-08-14 20:08:23 INFO  CreateDemoAccountPage :68 - Sending phone number : [[ChromeDriver: chrome on WINDOWS (3e0ed58d9d874115ea95fc8008ebd15b)] -> id: phoneInput]
2022-08-14 20:08:129 INFO  CreateDemoAccountPage :75 - Clicking on Newletter box : [[ChromeDriver: chrome on WINDOWS (3e0ed58d9d874115ea95fc8008ebd15b)] -> xpath: //label[@for='NewsLetter']]
2022-08-14 20:08:247 INFO  CreateDemoAccountPage :79 - Clicking on Terms and Conditions Box : [[ChromeDriver: chrome on WINDOWS (3e0ed58d9d874115ea95fc8008ebd15b)] -> xpath: //label[@for='GDPR']]
2022-08-14 20:08:327 INFO  CreateDemoAccountPage :84 - Clicking on Create Account: [[ChromeDriver: chrome on WINDOWS (3e0ed58d9d874115ea95fc8008ebd15b)] -> xpath: //button[@name='avaWidgetSubmit']]
2022-08-14 20:08:85 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 20:08:731 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 20:08:822 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 20:08:940 INFO  TradePage :102 - Clicking on trade Button: [[ChromeDriver: chrome on WINDOWS (5603b5cb186444744e338c61fdd8536b)] -> xpath: //a[@href='/trade']//div[@data-qa='aside__icon']//i[@data-qa='icon-wrapper__container']//*[name()='svg']]
2022-08-14 21:08:418 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 21:08:203 INFO  TradePage :102 - Clicking on trade Button: [[ChromeDriver: chrome on WINDOWS (dc05580f6a5079eba108d4edfd1521ba)] -> xpath: //a[@href='/trade']//div[@data-qa='aside__icon']//i[@data-qa='icon-wrapper__container']//*[name()='svg']]
2022-08-14 22:08:684 INFO  ManageDriver :31 - Launching Chrome Browser
